 co    npop whit blac hisp  o65 hsed coll  inco  bush    gore   brow   nade   harr   hage  buch    mcre   phil
  1  198326 74.4 21.8  4.7  9.4 82.7 34.6 19412  34124  47365    658   3226      6     42    263      4     20
  2   20761 82.4 16.8  1.5  7.7 64.1  5.7 14859   5610   2392     17     53      0      3     73      0      3
  3  146223 84.2 12.4  2.4 11.9 74.7 15.7 17838  38637  18850    171    828      5     18    248      3     18
  4   24646 76.1 22.9  2.6 11.8 65.0  8.1 13681   5414   3075     28     84      0      2     65      0      2
  5  460977 88.3  9.2  4.1 16.5 82.3 20.4 19567 115185  97318    643   4470     11     39    570     11     72
  6 1470758 80.3 17.5 10.9 20.3 76.8 18.8 24706 177323 386561   1212   7101     50    129    788     34     74
  7   12337 81.6 16.9  1.6 14.3 55.9  8.2 12570   2873   2155     10     39      0      1     90      1      2
  8  133681 94.3  4.4  3.4 33.4 75.7 13.4 18977  35426  29645    127   1462      6     15    182      3     18
  9  112454 96.2  2.8  2.5 30.7 68.6 10.4 16060  29765  25525    194   1379      5     16    270      0     18
 10  135179 91.0  6.0  3.5  7.9 81.2 17.9 18598  41736  14632    204    562      1     14    186      3      6
 11  195731 93.3  5.7 17.1 21.5 79.0 22.3 30906  60433  29918    185   1399      7     34    122      4     10
 12   52856 78.3 20.5  1.9 12.3 69.0 11.0 15349  10964   7047    127    258      1      7     89      2      8
 13   26259 80.6 18.1 12.1 18.0 54.5  7.6 16544   4256   3320     23    157      0      0     36      3      8
 14   12563 89.8  9.5  1.2 14.4 57.7  6.2 12035   2697   1826     32     75      0      2     29      0      3
 15  732622 69.4 27.5  3.4 10.7 76.9 18.4 20686 152098 107864    952   2757     37    162    652     15     58
 16  282604 73.3 22.7  2.6 11.7 76.2 18.2 17661  73017  40943    296   1727      6     24    502      3    110
 17   46128 88.5  9.8  5.9 23.0 78.7 17.3 15613  12613  13897     60    435      1      4     83      3      3
 18   10133 84.5 14.5  1.0 17.8 59.5 12.4 15735   2454   2046     17     85      1      3     33      0      3
 19   45441 37.6 61.8  2.9 11.6 59.9 11.2 14416   4767   9735     24    139      3      4     38      4      7
 20   13367 90.0  9.3  2.1 13.0 63.0  7.4 12865   3300   1910     52     97      0      1     29      0      2
 21    9698 79.6 13.7 10.1 15.3 57.4  7.1 14789   1841   1442     12     56      0      3      9      1      0
 22   13926 73.9 25.2  1.1 13.6 66.4  9.2 15482   3550   2397     21     86      2      4     71      2      2
 23   12521 56.3 43.0  3.6 10.9 58.4  7.0 12357   2146   1722     12     37      4      1     23      8      7
 24   22113 93.1  5.9 28.4 13.3 54.8  8.6 16812   3765   2339     17     75      0      2     30      0      2
 25   31634 78.2 18.8 26.6  9.9 56.6 10.0 17823   4747   3240     11    103      3      1     22      2      7
 26  125537 94.4  4.6  4.0 29.6 70.5  9.7 16062  30646  32644    116   1501      8     26    242      4     10
 27   76854 87.1 11.6  6.7 32.4 68.2 10.9 17655  20206  14167     64    545      6     16    127      3      7
 28  909444 82.8 14.9 16.0 12.3 75.6 20.2 20167 180760 169557   1138   7490     35    217    847     29     68
 29   18382 91.7  6.5  1.7 15.5 57.1  7.4 12790   5011   2177     18     94      1      7     76      3      6
 30   99215 89.2  9.9  3.9 26.6 76.5 19.1 28977  28635  19768    122    950      4     13    105      2     13
 31   45706 69.5 29.6  3.5 14.4 61.6 10.9 15519   9138   6868     40    138      0      2    102      1      4
 32   13232 49.4 50.1  1.3 13.4 64.1 14.7 15574   2478   3041     14     76      2      1     29      1      0
 33    6289 83.0 16.4  5.1 10.7 58.2  5.2 13663   1670    789      6     26      2      0     10      1      1
 34  196214 88.2 10.9  3.8 26.3 70.6 12.7 18269  50010  36571    204   1460      4     36    289      1     21
 35  387091 91.1  7.8  5.9 24.4 76.9 16.4 22053 106141  73560    538   3587     30     81    305      5     34
 36  215170 70.4 27.3  3.1  8.4 84.9 37.1 16705  39053  61425    330   1932      9     28    282      7     16
 37   32254 84.4 14.2  2.6 17.6 62.8  8.3 13745   6858   5398     92    284      1      1     67      1     10
 38    6703 78.1 20.9  3.1 10.7 56.7  7.3 14896   1317   1017     12     19      0      3     39      0      1
